,ML Model,Accuracy,ROC score,Precision,Recall,F1-Score,MCC,Kappa Score,Jaccard Score,G-Measure
127,CLN-EXP-WSI - DT,0.559,0.553,0.479,0.515,0.496,0.105,0.105,0.33,0.486
128,CLN-EXP-WSI - NB,0.671,0.679,0.479,0.7,0.569,0.332,0.318,0.398,0.512
129,CLN-EXP-WSI - VGGNets,0.547,0.446,0.123,0.5,0.198,0.033,0.022,0.11,0.145
130,CLN-EXP-WSI - ResNets,0.472,0.486,0.493,0.429,0.459,-0.052,-0.052,0.298,0.479
131,CLN-EXP-WSI - DenseNets,0.553,0.472,0.027,0.667,0.053,0.059,0.017,0.027,0.034
132,EXP-CNV-WSI - SVM - rbf,0.553,0.48,0.119,0.381,0.182,-0.028,-0.021,0.1,0.138
133,EXP-CNV-WSI - SVM - Poly,0.565,0.456,0.045,0.333,0.079,-0.041,-0.022,0.041,0.054
134,EXP-CNV-WSI - SVM - Utility ,0.559,0.496,0.134,0.409,0.202,-0.006,-0.004,0.112,0.155
135,EXP-CNV-WSI - SVM - Linear ,0.472,0.476,0.493,0.393,0.437,-0.049,-0.048,0.28,0.469
136,EXP-CNV-WSI - SVM - Sigmoid,0.497,0.501,0.522,0.417,0.464,0.001,0.001,0.302,0.497
137,EXP-CNV-WSI - RF,0.652,0.644,0.403,0.628,0.491,0.259,0.245,0.325,0.434
138,EXP-CNV-WSI - DT,0.516,0.502,0.418,0.418,0.418,0.003,0.003,0.264,0.418
139,EXP-CNV-WSI - NB,0.689,0.68,0.627,0.627,0.627,0.361,0.361,0.457,0.627
140,EXP-CNV-WSI - VGGNets,0.466,0.586,0.881,0.431,0.578,0.07,0.044,0.407,0.728
141,EXP-CNV-WSI - ResNets,0.516,0.528,0.567,0.437,0.494,0.045,0.044,0.328,0.535
142,EXP-CNV-WSI - DenseNets,0.578,0.586,0.015,0.333,0.029,-0.023,-0.007,0.014,0.018
143,CNV-CLN-WSI - SVM - rbf,0.497,0.747,0.012,1.0,0.024,0.078,0.012,0.012,0.015
144,CNV-CLN-WSI - SVM - Poly,0.522,0.753,0.061,1.0,0.115,0.176,0.06,0.061,0.075
145,CNV-CLN-WSI - SVM - Utility ,0.509,0.53,0.171,0.56,0.262,0.043,0.031,0.151,0.198
146,CNV-CLN-WSI - SVM - Linear ,0.553,0.553,0.524,0.566,0.544,0.107,0.107,0.374,0.532
147,CNV-CLN-WSI - SVM - Sigmoid,0.497,0.498,0.451,0.507,0.477,-0.004,-0.004,0.314,0.461
148,CNV-CLN-WSI - RF,0.565,0.597,0.305,0.658,0.417,0.165,0.139,0.263,0.342
149,CNV-CLN-WSI - DT,0.602,0.602,0.61,0.61,0.61,0.205,0.205,0.439,0.61
150,CNV-CLN-WSI - NB,0.615,0.615,0.671,0.611,0.64,0.229,0.228,0.47,0.658
151,CNV-CLN-WSI - VGGNets,0.516,0.539,0.085,0.7,0.152,0.098,0.047,0.082,0.104
152,CNV-CLN-WSI - ResNets,0.484,0.49,0.073,0.462,0.126,-0.028,-0.015,0.067,0.088
153,CNV-CLN-WSI - DenseNets,0.497,0.498,0.134,0.524,0.214,0.011,0.007,0.12,0.158
154,CLN-WSI-EXP-CNV - SVM - rbf,0.547,0.442,0.014,0.333,0.027,-0.032,-0.009,0.014,0.017
